순번,단지명,회사명,"공장대표주소(지번, 도로명 주소)",업종번호,업종명,대표번호,비고
1,화성동탄일반산업단지,(주)21세기 ,경기도 화성시 방교동 846-6번지,"29222, 29223",디지털 적층 성형기계 제조업 외 1 종,031-353-3155,
2,화성동탄일반산업단지,(주)가온솔루션,경기도 화성시 방교동 875-3번지,"29271, 29272",반도체 제조용 기계 제조업 외 1 종,031-273-4523,
3,화성동탄일반산업단지,(주)경진티알엠,경기도 화성시 방교동 832-4번지,"29171, 29172",산업용 냉장 및 냉동 장비 제조업 외 1 종,031-375-3977,
4,화성동탄일반산업단지,(주)고성엔지니어링,경기도 화성시 방교동 842-5,26299,그 외 기타 전자부품 제조업,070-7596-2345,
5,화성동탄일반산업단지,(주)고송이엔지,경기도 화성시 방교동 836-4번지,29271,반도체 제조용 기계 제조업,070-4361-2519,
6,화성동탄일반산업단지,(주)구미,경기도 화성시 방교동 838-11번지,29299,그 외 기타 특수목적용 기계 제조업,031-206-2487,
7,화성동탄일반산업단지,(주)국제종합물류,경기도 화성시 방교동 800-1번지,52101,일반 창고업,031-286-7942,
8,화성동탄일반산업단지,(주)그래핀랩,경기도 화성시 방교동 839-5,26221,인쇄회로기판용 적층판 제조업,070-4909-5366,
9,화성동탄일반산업단지,(주)그린테크놀로지,경기도 화성시 동탄산단9길 23-6,"29180, 29271",반도체 제조용 기계 제조업 외 1 종,070-5060-0333,
10,화성동탄일반산업단지,(주)그린파워,경기도 화성시 방교동 832-1번지,"27212, 28119, 29272, 35114",디스플레이 제조용 기계 제조업 외 3 종,031-211-3388,
11,화성동탄일반산업단지,(주)글로벌디펜스 ,경기도 화성시 방교동 835-3번지,"25123, 26429, 28111, 29142, 29299, 31311, 31312",그 외 기타 특수목적용 기계 제조업 외 6 종,031-8077-9699,
12,화성동탄일반산업단지,(주)글로벌스탠다드테크놀로지,경기도 화성시 방교동 832-7,29271,반도체 제조용 기계 제조업,031-371-2237,
13,화성동탄일반산업단지,(주)글로벌스탠다드테크놀로지,경기도 화성시 방교동 832-6,29271,반도체 제조용 기계 제조업,031-371-2237,
14,화성동탄일반산업단지,(주)글로벌시스템즈 ,경기도 화성시 방교동 798-4번지,30332,자동차용 신품 전기장치 제조업,031-374-9046,
15,화성동탄일반산업단지,(주)글로벌엔지니어링 ,경기도 화성시 방교동 835-3번지,"28111, 30332",자동차용 신품 전기장치 제조업 외 1 종,031-374-9046,
16,화성동탄일반산업단지,(주)금강쿼츠,경기도 화성시 방교동 835-6번지,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,031-370-5200,
17,화성동탄일반산업단지,(주)금강쿼츠,경기도 화성시 방교동 824-1,26299,그 외 기타 전자부품 제조업,031-376-9451,
18,화성동탄일반산업단지,(주)금강쿼츠,경기도 화성시 방교동 832-5,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,031-370-5200,
19,화성동탄일반산업단지,(주)금호아이네트,경기도 화성시 방교동 836-1,"28422, 28423",일반용 전기 조명장치 제조업 외 1 종,031-375-1946,
20,화성동탄일반산업단지,(주)기가레인,경기도 화성시 방교동 874-3번지,"26429, 28122, 28303",기타 무선 통신장비 제조업 외 2 종,031-370-3606,
21,화성동탄일반산업단지,(주)네오이엔지,경기도 화성시 방교동 837-8,29271,반도체 제조용 기계 제조업,031-352-2670,
22,화성동탄일반산업단지,(주)넥스트테크놀러지,경기도 화성시 방교동 842-6번지,"26295, 26299, 29172",그 외 기타 전자부품 제조업 외 2 종,031-666-2336,
23,화성동탄일반산업단지,(주)넥스틴 ,경기도 화성시 방교동 824-8번지,29271,반도체 제조용 기계 제조업,031-629-2300,
24,화성동탄일반산업단지,(주)노무라마이크로사이언스코리아,경기도 화성시 방교동 849-10번지,29175,액체 여과기 제조업,031-831-9775,
25,화성동탄일반산업단지,(주)노이드테크,경기도 화성시 방교동 824-2번지,"26295, 26299, 29261, 29271, 29272, 29299",반도체 제조용 기계 제조업 외 5 종,031-373-0495,
26,화성동탄일반산업단지,(주)다산이엔지,경기도 화성시 방교동 849-3번지,"29261, 29299",그 외 기타 특수목적용 기계 제조업 외 1 종,031-235-3936,
27,화성동탄일반산업단지,(주)동광테크,경기도 화성시 방교동 797-11번지,29294,주형 및 금형 제조업,031-377-4374,
28,화성동탄일반산업단지,(주)동부엘이디 ,경기도 화성시 방교동 837-3,26299,그 외 기타 전자부품 제조업,070-8874-1101,
29,화성동탄일반산업단지,(주)동성정밀엘엑스,경기도 화성시 방교동 836-1번지,"29271, 29272",반도체 제조용 기계 제조업 외 1 종,070-4366-1802,
30,화성동탄일반산업단지,(주)동성테크,경기도 화성시 방교동 840-4번지,"26295, 26299",그 외 기타 전자부품 제조업 외 1 종,031-376-8828,
31,화성동탄일반산업단지,(주)동탄이엔지,경기도 화성시 방교동 826-4번지,68112,비주거용 건물 임대업,,
32,화성동탄일반산업단지,(주)동탄이엔지,경기도 화성시 방교동 836-6,"26299, 28902",전기용 탄소제품 및 절연제품 제조업 외 1 종,031-8058-0411,
33,화성동탄일반산업단지,(주)디아이씨,경기도 화성시 방교동 836-11동,29271,반도체 제조용 기계 제조업,031-353-0567,
34,화성동탄일반산업단지,(주)디에스시동탄,경기도 화성시 방교동 781-1,"70129, 70130",기타 공학 연구개발업 외 1 종,054-770-1004,
35,화성동탄일반산업단지,(주)디와츠코리아,경기도 화성시 방교동 839-5,28122,전기회로 접속장치 제조업,,
36,화성동탄일반산업단지,(주)디티에이치,경기도 화성시 방교동 826-4,28902,전기용 탄소제품 및 절연제품 제조업,,
37,화성동탄일반산업단지,(주)디티에이치,경기도 화성시 방교동 836-6,28902,전기용 탄소제품 및 절연제품 제조업,,
