단지명,회사명,"공장대표주소(지번, 도로명 주소)",매핑된 업종명
화성동탄일반산업단지,(주)21세기 ,경기도 화성시 방교동 846-6번지,전기전자
화성동탄일반산업단지,(주)가온솔루션,경기도 화성시 방교동 875-3번지,전기전자
화성동탄일반산업단지,(주)경진티알엠,경기도 화성시 방교동 832-4번지,기타
화성동탄일반산업단지,(주)고성엔지니어링,경기도 화성시 방교동 842-5,전기전자
화성동탄일반산업단지,(주)고송이엔지,경기도 화성시 방교동 836-4번지,전기전자
화성동탄일반산업단지,(주)구미,경기도 화성시 방교동 838-11번지,기타
화성동탄일반산업단지,(주)국제종합물류,경기도 화성시 방교동 800-1번지,기타
화성동탄일반산업단지,(주)그래핀랩,경기도 화성시 방교동 839-5,전기전자
화성동탄일반산업단지,(주)그린테크놀로지,경기도 화성시 동탄산단9길 23-6,전기전자
화성동탄일반산업단지,(주)그린파워,경기도 화성시 방교동 832-1번지,전기전자
화성동탄일반산업단지,(주)글로벌디펜스 ,경기도 화성시 방교동 835-3번지,기타
화성동탄일반산업단지,(주)글로벌스탠다드테크놀로지,경기도 화성시 방교동 832-7,전기전자
화성동탄일반산업단지,(주)글로벌스탠다드테크놀로지,경기도 화성시 방교동 832-6,전기전자
화성동탄일반산업단지,(주)글로벌시스템즈 ,경기도 화성시 방교동 798-4번지,전기전자
화성동탄일반산업단지,(주)글로벌엔지니어링 ,경기도 화성시 방교동 835-3번지,전기전자
화성동탄일반산업단지,(주)금강쿼츠,경기도 화성시 방교동 835-6번지,전기전자
화성동탄일반산업단지,(주)금강쿼츠,경기도 화성시 방교동 824-1,전기전자
화성동탄일반산업단지,(주)금강쿼츠,경기도 화성시 방교동 832-5,전기전자
화성동탄일반산업단지,(주)금호아이네트,경기도 화성시 방교동 836-1,전기전자
화성동탄일반산업단지,(주)기가레인,경기도 화성시 방교동 874-3번지,기타
화성동탄일반산업단지,(주)네오이엔지,경기도 화성시 방교동 837-8,전기전자
화성동탄일반산업단지,(주)넥스트테크놀러지,경기도 화성시 방교동 842-6번지,전기전자
화성동탄일반산업단지,(주)넥스틴 ,경기도 화성시 방교동 824-8번지,전기전자
화성동탄일반산업단지,(주)노무라마이크로사이언스코리아,경기도 화성시 방교동 849-10번지,기타
화성동탄일반산업단지,(주)노이드테크,경기도 화성시 방교동 824-2번지,전기전자
화성동탄일반산업단지,(주)다산이엔지,경기도 화성시 방교동 849-3번지,기타
화성동탄일반산업단지,(주)동광테크,경기도 화성시 방교동 797-11번지,기타
화성동탄일반산업단지,(주)동부엘이디 ,경기도 화성시 방교동 837-3,전기전자
화성동탄일반산업단지,(주)동성정밀엘엑스,경기도 화성시 방교동 836-1번지,전기전자
화성동탄일반산업단지,(주)동성테크,경기도 화성시 방교동 840-4번지,전기전자
화성동탄일반산업단지,(주)동탄이엔지,경기도 화성시 방교동 826-4번지,기타
화성동탄일반산업단지,(주)동탄이엔지,경기도 화성시 방교동 836-6,전기전자
화성동탄일반산업단지,(주)디아이씨,경기도 화성시 방교동 836-11동,전기전자
화성동탄일반산업단지,(주)디에스시동탄,경기도 화성시 방교동 781-1,기타
화성동탄일반산업단지,(주)디와츠코리아,경기도 화성시 방교동 839-5,전기전자
화성동탄일반산업단지,(주)디티에이치,경기도 화성시 방교동 826-4,전기전자
화성동탄일반산업단지,(주)디티에이치,경기도 화성시 방교동 836-6,전기전자
화성동탄일반산업단지,(주)딥스마텍,경기도 화성시 방교동 836-6,전기전자
화성동탄일반산업단지,(주)라모스테크놀러지,경기도 화성시 방교동 839-1번지,기타
화성동탄일반산업단지,(주)라모스테크놀러지,경기도 화성시 방교동 839-5,기타
화성동탄일반산업단지,(주)렘퍼스,경기도 화성시 방교동 840-5,전기전자
화성동탄일반산업단지,(주)로보케어,경기도 화성시 방교동 832-6,기타
화성동탄일반산업단지,(주)리모트글로벌,경기도 화성시 방교동 849-5,전기전자
화성동탄일반산업단지,(주)마루라이팅 ,경기도 화성시 방교동 832-5,전기전자
화성동탄일반산업단지,(주)마르스,경기도 화성시 동탄산단2길 46,전기전자
화성동탄일반산업단지,(주)마스 ,경기도 화성시 방교동 846-5번지,전기전자
화성동탄일반산업단지,(주)마스터테크,경기도 화성시 방교동 835-4번지,기타
화성동탄일반산업단지,(주)메이,경기도 화성시 방교동 806-0,전기전자
화성동탄일반산업단지,(주)모토벨로,경기도 화성시 방교동 825-1,기타
화성동탄일반산업단지,(주)뮤텍코리아,경기도 화성시 방교동 826-4번지,기타
화성동탄일반산업단지,(주)미래보,경기도 화성시 방교동 874-9,전기전자
화성동탄일반산업단지,(주)미코,경기도 화성시 방교동 849-1,전기전자
화성동탄일반산업단지,(주)미코,경기도 화성시 방교동 847-1,전기전자
화성동탄일반산업단지,(주)백산이엔지,경기도 화성시 방교동 838-2번지,전기전자
화성동탄일반산업단지,(주)밸류테크 ,경기도 화성시 방교동 827-7,위험물등
화성동탄일반산업단지,(주)베스테크,경기도 화성시 방교동 798-10,전기전자
화성동탄일반산업단지,(주)베스텍,경기도 화성시 방교동 783-2번지,전기전자
화성동탄일반산업단지,(주)브로던,경기도 화성시 방교동 847-2번지,기타
화성동탄일반산업단지,(주)비에스엘,경기도 화성시 방교동 824-4,기타
화성동탄일반산업단지,(주)비올디벨로퍼즈,경기도 화성시 방교동 846-10번지,기타
화성동탄일반산업단지,(주)비와이텍,경기도 화성시 방교동 838-6번지,전기전자
화성동탄일반산업단지,(주)삼양엔씨켐,경기도 화성시 방교동 874-8번지,위험물등
화성동탄일반산업단지,(주)삼우엔지니어링,경기도 화성시 방교동 849-4번지,기타
화성동탄일반산업단지,(주)삼윤,경기도 화성시 방교동 837-4번지,전기전자
화성동탄일반산업단지,(주)삼정오토메이션,경기도 화성시 방교동 840-6번지,전기전자
화성동탄일반산업단지,(주)삼진엘앤디,경기도 화성시 방교동 841-2번지,기타
화성동탄일반산업단지,(주)센서뷰 ,경기도 화성시 방교동 840-5번지,기타
화성동탄일반산업단지,(주)센서뷰 ,경기도 화성시 방교동 842-5번지,기타
화성동탄일반산업단지,(주)셀코스 ,경기도 화성시 방교동 806-0,전기전자
화성동탄일반산업단지,(주)셀피아테크,경기도 화성시 방교동 837-1번지,전기전자
화성동탄일반산업단지,(주)송도테크 ,경기도 화성시 방교동 798-4번지,기타
화성동탄일반산업단지,(주)슈페리어,경기도 화성시 방교동 802-4번지,기타
화성동탄일반산업단지,(주)스카이물류,경기도 화성시 방교동 831-1,기타
화성동탄일반산업단지,(주)스카이즈,경기도 화성시 방교동 849-6,기타
화성동탄일반산업단지,(주)스트라드비젼,경기도 화성시 방교동 797-10번지,전기전자
화성동탄일반산업단지,(주)시노펙스,경기도 화성시 방교동 875-4,기타
화성동탄일반산업단지,(주)시스윈로보틱스,경기도 화성시 방교동 842-1번지,전기전자
