단지명,회사명,"공장대표주소(지번, 도로명 주소)",매핑된 업종명,위도,경도
화성동탄일반산업단지,(주)21세기 ,경기도 화성시 방교동 846-6번지,전기전자,37.1615847388083,127.086287138001
화성동탄일반산업단지,(주)가온솔루션,경기도 화성시 방교동 875-3번지,전기전자,37.1804000821656,127.086244571301
화성동탄일반산업단지,(주)고성엔지니어링,경기도 화성시 방교동 842-5,전기전자,37.1659242053485,127.089718069094
화성동탄일반산업단지,(주)고송이엔지,경기도 화성시 방교동 836-4번지,전기전자,37.1709290564277,127.090634898106
화성동탄일반산업단지,(주)그래핀랩,경기도 화성시 방교동 839-5,전기전자,37.1661472215319,127.086191105946
화성동탄일반산업단지,(주)그린테크놀로지,경기도 화성시 동탄산단9길 23-6,전기전자,37.1756041287383,127.090942149173
화성동탄일반산업단지,(주)그린파워,경기도 화성시 방교동 832-1번지,전기전자,37.1720082125046,127.087326454191
화성동탄일반산업단지,(주)글로벌스탠다드테크놀로지,경기도 화성시 방교동 832-7,전기전자,37.1697359162038,127.087588326375
화성동탄일반산업단지,(주)글로벌스탠다드테크놀로지,경기도 화성시 방교동 832-6,전기전자,37.1689769199671,127.087393675391
화성동탄일반산업단지,(주)글로벌시스템즈 ,경기도 화성시 방교동 798-4번지,전기전자,37.1704323448709,127.083848108454
화성동탄일반산업단지,(주)글로벌엔지니어링 ,경기도 화성시 방교동 835-3번지,전기전자,37.1703813471764,127.088672812738
화성동탄일반산업단지,(주)금강쿼츠,경기도 화성시 방교동 835-6번지,전기전자,37.1691126359877,127.088584407296
화성동탄일반산업단지,(주)금강쿼츠,경기도 화성시 방교동 824-1,전기전자,37.1756038553487,127.088204626654
화성동탄일반산업단지,(주)금강쿼츠,경기도 화성시 방교동 832-5,전기전자,37.1691279519246,127.086637100642
화성동탄일반산업단지,(주)금호아이네트,경기도 화성시 방교동 836-1,전기전자,37.1719746867751,127.091979789337
화성동탄일반산업단지,(주)네오이엔지,경기도 화성시 방교동 837-8,전기전자,37.1703946979581,127.091614187511
화성동탄일반산업단지,(주)넥스트테크놀러지,경기도 화성시 방교동 842-6번지,전기전자,37.1659349917275,127.089036124728
화성동탄일반산업단지,(주)넥스틴 ,경기도 화성시 방교동 824-8번지,전기전자,37.1765698034305,127.090806715941
화성동탄일반산업단지,(주)노이드테크,경기도 화성시 방교동 824-2번지,전기전자,37.1761042951747,127.088213090777
