단지명,회사명,"공장대표주소(지번, 도로명 주소)",매핑된 업종명,위도,경도
화성동탄일반산업단지,(주)티베라,경기도 화성시 동탄면 0번지 동탄일반산업단지 7-3블럭,전기전자,,
화성동탄일반산업단지,넥스타테크놀로지(주),경기도 화성시 동탄면 방교리 740-183번지,기타,,
화성동탄일반산업단지,지에이에셋코리아(주),경기도 화성시 송동 507번지,기타,,
화성마도일반산업단지,(주)동우파워텍,경기도 화성시 마도면 쌍송리 마도지방산업단지 10블럭 4롯트,전기전자,,
화성마도일반산업단지,(주)에이스정공,경기도 화성시 마도면 쌍송리 마도지방산업단지 8블럭9롯트,기타,,
화성마도일반산업단지,(주)한성GT,경기도 화성시 마도면 쌍송리 375-4번지,기타,,
화성마도일반산업단지,한스(주),경기도 화성시 마도면 쌍송리 마도산업단지 2블럭 10롯트,기타,,
화성발안일반산업단지,(주)네오유디유,경기도 화성시 향남읍 구문천리번지 발안지방산업단지 6-10블럭,기타,,
화성발안일반산업단지,(주)선우피엔이,경기도 화성시 향남읍 발안지방산업단지 20블럭 1롯트,기타,,
화성발안일반산업단지,부산재활용사촌복지공장,경기도 화성시 향남읍 구문천리 905번지,전기전자,,
화성발안일반산업단지,신성정밀,경기도 화성시 향남읍 발안지방산업단지 2블럭9롯트,기타,,
화성전곡해양일반산업단지,(주)대유켐,경기도 화성시 서신면 전곡리 630번지,위험물등,,
화성전곡해양일반산업단지,(주)에이치케이한국트레이드,경기도 화성시 서신면 장외리 산 3-1번지,기타,,
화성전곡해양일반산업단지,금성호이스트크레인(주),경기도 화성시 서신면 전곡리 산 131번지,기타,,
화성전곡해양일반산업단지,나성산업,경기도 화성시 서신면 장외리 95-26번지,위험물등,,
화성전곡해양일반산업단지,대진ENG,경기도 화성시 서신면 장외리 84-6번지,기타,,
화성전곡해양일반산업단지,성광플랜트(주),경기도 화성시 서신면 전곡리 683-5번지,기타,,
화성전곡해양일반산업단지,유성분체기계(주),경기도 화성시 서신면 전곡리 산 126-20번지,기타,,
화성정남일반산업단지,(주)엔엔테크,경기도 화성시 정남면 음양리 564번지,기타,,
화성정남일반산업단지,(주)엠피테크 ,경기도 화성시 정남면 음양리 259번지,기타,,
화성정남일반산업단지,(주)원케미컬,경기도 화성시 정남면 음양리 274-0,위험물등,,
화성정남일반산업단지,(주)코리아솔루션 ,경기도 화성시 정남면 음양리 298번지,전기전자,,
화성정남일반산업단지,(주)코스만,경기도 화성시 정남면 음양리 622-3번지,기타,,
화성정남일반산업단지,(주)통해,경기도 화성시 정남면 음양리 279번지,기타,,
화성정남일반산업단지,(주)핌스,경기도 화성시 정남면 음양리 259-0,기타,,
화성정남일반산업단지,원슈퍼드릴 ,경기도 화성시 정남면 음양리 238번지,기타,,
화성향남제약일반산업단지,한국메디텍제약(주),경기도 화성시 향남읍 상신리 902-2번지,기타,,
화성바이오밸리일반산업단지,(주)고원금속,경기도 화성시 마도면 청원리 1259-1번지,운송장비,,
화성바이오밸리일반산업단지,(주)미디안테크,경기도 화성시 마도면 청원리 954번지,위험물등,,
화성바이오밸리일반산업단지,(주)비에스시스템족장기술,경기도 화성시 마도면 청원리 1249번지,기타,,
화성바이오밸리일반산업단지,(주)수테크엔바이오 ,경기도 화성시 마도면 청원리 1249번지,위험물등,,
화성바이오밸리일반산업단지,(주)유진스프링,경기도 화성시 마도면 청원리 1261-1번지,기타,,
화성바이오밸리일반산업단지,(주)케이스탑,경기도 화성시 마도면 청원리 1258번지,위험물등,,
화성바이오밸리일반산업단지,(주)파머스그레인코리아 ,경기도 화성시 마도면 청원리 1249번지,기타,,
화성바이오밸리일반산업단지,(주)포스켐,경기도 화성시 마도면 청원리 1249번지,기타,,
화성바이오밸리일반산업단지,(주)프로코,경기도 화성시 마도면 청원리 1249번지,위험물등,,
화성바이오밸리일반산업단지,(주)한국분산,경기도 화성시 마도면 청원리 1249번지,기타,,
화성바이오밸리일반산업단지,나노전자,경기도 화성시 마도면 청원리 1259-1번지,기타,,
화성바이오밸리일반산업단지,미래정밀화학(주),경기도 화성시 마도면 청원리 1258번지,기타,,
화성바이오밸리일반산업단지,삼일정공(주),경기도 화성시 마도면 청원리 1249번지,기타,,
